year,month,marketplace_name,province,city,total_customers,total_orders,total_revenue
2024,11,tiktok,jawa barat,kota cimahi,4,7,13587468.00
2024,12,shopee,jawa barat,kota bogor,20,20,11447243.00
2024,9,tiktok,jawa timur,kota malang,12,14,8969794.00
2024,12,shopee,jawa barat,kabupaten bogor,84,97,7813216.00
2024,8,tiktok,banten,kota tangerang,15,18,6594728.00
2024,9,tiktok,nusa tenggara barat (ntb),kota mataram,61,63,6561379.00
2024,7,shopee,jawa barat,kabupaten bogor,72,73,6446124.00
2024,8,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,46,49,6438700.00
2024,12,shopee,jawa barat,kabupaten bekasi,61,69,6356881.00
2024,9,shopee,jawa barat,kabupaten bogor,79,85,6292971.00
2024,10,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,54,57,6107806.00
2024,6,shopee,jawa barat,kabupaten bogor,73,77,6073239.00
2024,10,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,53,57,6029907.00
2024,11,tiktok,jawa barat,kota bandung,51,54,5892547.00
2024,9,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,41,44,5801146.00
2024,9,tiktok,banten,kota tangerang,24,31,5796413.00
2024,9,tiktok,jawa barat,kota bandung,47,49,5739679.00
2024,11,shopee,jawa barat,kabupaten bogor,62,66,5721657.00
2024,8,shopee,jawa barat,kabupaten bekasi,56,61,5658399.00
2024,6,shopee,jawa barat,kabupaten bekasi,63,72,5644114.00
2024,10,tiktok,nusa tenggara barat (ntb),kota mataram,46,51,5516517.00
2024,7,shopee,jawa barat,kabupaten bekasi,69,78,5477752.00
2024,9,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,45,47,5470428.00
2024,8,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,50,50,5312771.00
2024,8,tiktok,bali,kota denpasar,38,40,5201850.00
2024,11,shopee,jawa barat,kabupaten bekasi,55,59,5183901.00
2024,7,tiktok,jawa barat,kota bandung,40,43,5149023.00
2024,8,shopee,jawa barat,kabupaten bogor,60,69,5117498.00
2024,10,tiktok,jawa barat,kota bandung,48,49,5093514.00
2024,8,tiktok,sulawesi selatan,kota makassar,31,33,5050138.00
2024,12,shopee,banten,kabupaten tangerang,49,53,5032646.00
2024,6,shopee,dki jakarta,kota jakarta timur,59,67,5020604.00
2024,7,shopee,dki jakarta,kota jakarta timur,58,58,5005169.00
2024,8,tiktok,jawa timur,kota surabaya,37,42,4972896.00
2024,12,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,42,45,4941872.00
2024,12,shopee,jawa timur,kota surabaya,18,21,4937905.00
2024,9,tiktok,sulawesi selatan,kota makassar,37,37,4868894.00
2024,11,tiktok,jawa barat,kabupaten bogor,22,24,4843099.00
2024,7,tiktok,nusa tenggara barat (ntb),kota mataram,38,39,4835220.00
2024,11,tiktok,nusa tenggara barat (ntb),kota mataram,34,34,4825645.00
2024,10,shopee,jawa barat,kabupaten bogor,52,55,4795661.00
2024,7,shopee,dki jakarta,kota jakarta selatan,56,59,4782258.00
2024,8,tiktok,nusa tenggara barat (ntb),kota mataram,42,43,4749566.00
2024,8,tiktok,nusa tenggara barat (ntb),kabupaten lombok barat,33,37,4649989.00
2024,8,shopee,jawa barat,kota depok,46,52,4648973.00
2024,8,tiktok,jawa barat,kota bandung,36,39,4642548.00
2024,6,shopee,jawa barat,kota bekasi,53,58,4601211.00
2024,8,shopee,banten,kabupaten tangerang,39,43,4401716.00
2024,9,tiktok,bali,kota denpasar,36,38,4371447.00
2024,8,shopee,dki jakarta,kota jakarta selatan,51,56,4331058.00
2024,12,shopee,dki jakarta,kota jakarta timur,47,50,4312456.00
2024,11,tiktok,nusa tenggara barat (ntb),kabupaten lombok barat,29,35,4241428.00
2024,12,tiktok,nusa tenggara barat (ntb),kota mataram,28,30,4239242.00
2024,7,tiktok,bali,kota denpasar,36,37,4214919.00
2024,6,shopee,jawa barat,kota depok,38,43,4189513.00
2024,7,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,33,37,4156101.00
2024,8,shopee,jawa barat,kota bekasi,40,44,4149143.00
2024,10,tiktok,bali,kota denpasar,40,40,4147712.00
2024,6,shopee,dki jakarta,kota jakarta selatan,46,49,4127710.00
2024,9,shopee,jawa barat,kota bekasi,45,48,4110439.00
2024,7,shopee,dki jakarta,kota jakarta utara,35,38,4110310.00
2024,10,tiktok,jawa timur,kota surabaya,37,39,4101054.00
2024,7,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,31,34,4071996.00
2024,12,shopee,dki jakarta,kota jakarta selatan,46,52,4039264.00
2024,7,shopee,jawa barat,kota bekasi,47,51,4016292.00
2024,11,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,38,38,3973125.00
2024,12,shopee,jawa barat,kota bekasi,49,54,3929314.00
2024,8,shopee,dki jakarta,kota jakarta timur,44,50,3919058.00
2024,11,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,33,36,3907340.00
2024,5,shopee,jawa barat,kabupaten bogor,39,43,3904825.00
2024,12,tiktok,banten,kota tangerang,19,22,3874570.00
2024,10,tiktok,banten,kota tangerang,28,29,3871647.00
2024,7,shopee,banten,kota tangerang,42,42,3840216.00
2024,11,shopee,dki jakarta,kota jakarta barat,40,47,3825333.00
2024,10,shopee,dki jakarta,kota jakarta barat,29,38,3812061.00
2024,9,shopee,jawa barat,kabupaten bekasi,46,50,3800094.00
2024,8,tiktok,dki jakarta,kota jakarta selatan,21,24,3797318.00
2024,7,tiktok,nusa tenggara barat (ntb),kabupaten lombok barat,30,34,3797219.00
2024,12,tiktok,bali,kota denpasar,33,35,3780960.00
2024,11,shopee,dki jakarta,kota jakarta selatan,44,46,3715780.00
2024,10,tiktok,dki jakarta,kota jakarta selatan,30,32,3714821.00
2024,8,tiktok,jawa timur,kabupaten sidoarjo,22,24,3696820.00
2024,10,tiktok,sulawesi selatan,kota makassar,33,37,3693989.00
2024,7,shopee,jawa barat,kota depok,49,52,3692157.00
2024,7,tiktok,banten,kota tangerang,20,25,3686916.00
2024,11,shopee,jawa barat,kota bekasi,39,41,3665471.00
2024,11,shopee,jawa barat,kabupaten karawang,36,37,3664500.00
2024,9,tiktok,jawa timur,kota surabaya,34,37,3653198.00
2024,12,shopee,jawa barat,kabupaten karawang,42,44,3646026.00
2024,11,tiktok,jawa timur,kota surabaya,34,34,3645906.00
2024,11,tiktok,bali,kota denpasar,35,35,3600686.00
2024,11,shopee,banten,kabupaten tangerang,38,42,3583132.00
2024,10,tiktok,jawa barat,kabupaten bogor,32,32,3535457.00
2024,7,shopee,jawa barat,kabupaten karawang,43,48,3497019.00
2024,9,shopee,dki jakarta,kota jakarta barat,39,44,3491955.00
2024,9,tiktok,bali,kabupaten badung,27,32,3491608.00
2024,8,shopee,jawa barat,kabupaten karawang,38,39,3487995.00
2024,12,shopee,banten,kota tangerang,36,39,3474958.00
2024,10,tiktok,dki jakarta,kota jakarta timur,26,27,3474803.00
2024,10,tiktok,nusa tenggara barat (ntb),kabupaten lombok barat,32,35,3459146.00
2024,11,shopee,dki jakarta,kota jakarta timur,36,40,3448458.00
2024,7,shopee,banten,kota tangerang selatan,41,44,3441691.00
2024,9,shopee,banten,kabupaten tangerang,40,40,3441146.00
2024,12,tiktok,jawa barat,kota bandung,35,35,3419668.00
2024,8,shopee,dki jakarta,kota jakarta barat,43,48,3415507.00
2024,10,shopee,jawa barat,kabupaten bekasi,42,49,3404967.00
2024,9,shopee,dki jakarta,kota jakarta timur,43,49,3402580.00
2024,8,tiktok,nusa tenggara barat (ntb),kabupaten sumbawa,10,13,3400632.00
2024,7,tiktok,jawa timur,kabupaten sidoarjo,22,28,3335319.00
2024,12,shopee,jawa barat,kota depok,37,41,3271201.00
2024,10,tiktok,jawa barat,kabupaten indramayu,23,27,3256971.00
2024,8,tiktok,dki jakarta,kota jakarta timur,25,26,3182788.00
2024,6,shopee,banten,kota tangerang selatan,39,41,3133727.00
2024,12,shopee,dki jakarta,kota jakarta barat,36,45,3127133.00
2024,9,tiktok,kalimantan selatan,kota banjarmasin,26,29,3115066.00
2024,8,tiktok,dki jakarta,kota jakarta barat,25,27,3108002.00
2024,10,shopee,jawa barat,kota bekasi,35,38,3087930.00
2024,6,shopee,dki jakarta,kota jakarta barat,31,33,3046222.00
2024,9,shopee,dki jakarta,kota jakarta selatan,37,39,3021901.00
2024,9,tiktok,kalimantan timur,kota balikpapan,26,26,3017984.00
2024,9,shopee,banten,kota tangerang selatan,36,37,3017366.00
2024,10,tiktok,jawa barat,kabupaten bandung barat,24,27,3001919.00
2024,9,tiktok,di yogyakarta,kabupaten sleman,26,28,2976116.00
2024,10,tiktok,jawa barat,kabupaten bandung,31,31,2963968.00
2024,9,tiktok,jawa timur,kabupaten sidoarjo,26,29,2948160.00
2024,7,shopee,banten,kabupaten tangerang,33,37,2923017.00
2024,6,shopee,banten,kabupaten tangerang,36,40,2922772.00
2024,12,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,28,29,2906930.00
2024,7,tiktok,jawa barat,kabupaten bandung,26,27,2898303.00
2024,8,tiktok,bali,kabupaten badung,28,29,2893951.00
2024,7,tiktok,jawa timur,kota surabaya,23,25,2881880.00
2024,10,tiktok,kalimantan selatan,kota banjarmasin,26,29,2874166.00
