year,month,marketplace_name,product_name,total_orders,total_items_sold,total_revenue
2024,9,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray,854,875,103453708.00
2024,8,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray,846,855,99866968.00
2024,6,shopee,Gendes Paket Promo Bundling Feminine Wash Foam dan Sweet Aromatic Feminine Care Spray,828,833,74645017.00
2024,7,shopee,Gendes Paket Promo Bundling Feminine Wash Foam dan Sweet Aromatic Feminine Care Spray,824,836,72531433.00
2024,10,tiktok,Gendes Promo Bundling Sweet Aromatic spray  Foam dan Spray,611,623,68768362.00
2024,7,tiktok,PROMO BUNDLING GENDES HANYA 109RB SAJA || PAKET 1 SPRAY + 1 FOAM |,583,594,66647469.00
2024,9,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Vanilla dan Sweet Aromatic Feminine Care Spray,637,655,57469063.00
2024,11,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Vanilla dan Sweet Aromatic Feminine Care Spray,572,579,53943975.00
2024,11,tiktok,Gendes Promo Bundling Sweet Aromatic spray  Foam dan Spray,457,464,53729286.00
2024,12,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Vanilla dan Sweet Aromatic Feminine Care Spray,534,545,50542537.00
2024,10,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray,401,405,45168784.00
2024,8,tiktok,Promo Bundling Gendes 2 Sweet Aromatic spray,325,354,41219505.00
2024,10,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Vanilla dan Sweet Aromatic Feminine Care Spray,439,441,39618751.00
2024,6,tiktok,PROMO BUNDLING GENDES HANYA 109RB SAJA || PAKET 1 SPRAY + 1 FOAM |,284,290,36348755.00
2024,12,tiktok,PROMO BUNDLING LIVE GENDES HANYA 99.997RB SAJA || PAKET 1 SPRAY + 1 FOAM |,374,377,34858710.00
2024,9,tiktok,Promo Bundling Gendes 2 Sweet Aromatic spray,251,277,32908509.00
2024,7,tiktok,Promo Bundling Gendes 2 Sweet Aromatic spray,271,281,30350821.00
2024,12,tiktok,Gendes Promo Bundling Sweet Aromatic spray  Foam dan Spray,253,255,29150205.00
2024,8,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Vanilla dan Sweet Aromatic Feminine Care Spray,300,303,27374829.00
2024,8,shopee,Gendes Paket Promo Bundling Feminine Wash Foam dan Sweet Aromatic Feminine Care Spray,290,291,25659963.00
2024,11,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray,127,136,20451291.00
2024,12,shopee,PROMO BUNDLING LIVE GENDES HANYA 99.997RB SAJA || PAKET 1 SPRAY + 1 FOAM,203,243,19767216.00
2024,10,tiktok,GENDES 2 Sweet Aromatic Spray promo bundling - Perawatan Area Sekitar dengan 7 Miracle Bioaktives - Hygiene,175,178,18242114.00
2024,7,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 2 Pcs,236,239,17733777.00
2024,6,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 2 Pcs,196,200,17076524.00
2024,7,tiktok,PROMO BUNDLING GENDES HANYA 119RB SAJA || PAKET 1 SPRAY + 1 FOAM |,138,138,15835574.00
2024,9,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 2 Pcs,212,215,15816385.00
2024,5,tiktok,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY Mengencangkan,113,121,15072031.00
2024,10,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 2 Pcs,200,204,14979133.00
2024,11,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 2 Pcs,171,174,14475742.00
2024,10,tiktok,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,133,135,14258162.00
